Name,Phone number 1,Phone number 2,address
Faasos,+91 7700020020,,"Shop 30, Gandhi Market, Minto Road, Connaught Place, New Delhi"
Kwality,011 23742310, 011 23742352,"7, Regal Building, Connaught Place, New Delhi"
Q'BA,+91 9560871118, 011 45173333,"E-42, 43, Inner Circle, Connaught Place, New Delhi"
Shake Square,+91 9810121681,,"C 24/2, Middle Circle, Connaught Place, New Delhi"
Lord Of The Drinks,+91 9999827144, +91 9999827155,"G-72, 1st Floor, Outer Circle, Connaught Place, New Delhi"
Caffe Tonino,+91 8700249425,,"9, H Block, PVR Plaza Cinema Building, Connaught Place, New Delhi"
Shri Hanuman Kachori,Not available for this place,,"Shop 5, Hanuman Mandir, Connaught Place, New Delhi"
Cafe Hawkers,011 23416138, 011 23413131,"L/ 22, Radial Road, Near Odean Cinema, Connaught Place, New Delhi"
Chew - Pan Asian Cafe,00 1143544999,,"M-16, 1st Floor, Outer Circle, Connaught Place, New Delhi"
"Shang Palace - Shangri-La's - Eros Hotel, New Delhi",+91 9599787833, 011 41191040,"Shangri-La’s – Eros Hotel, 19, Lobby Level, Ashoka Road, Connaught Place, New Delhi"
Bikanervala,+91 9717744986, +91 9717701177,"1st Floor, Rajiv Gandhi Handicraft Bhavan, Baba Kharak Singh Marg, Connaught Place, New Delhi"
Cafe Coffee Day - The Square,18001025093,,"C 14, Connaught Place, New Delhi"
Route 04,+91 9717590444, +91 9560475656,"K-2, Middle Circle, Connaught Place, New Delhi"
Openhouse Cafe,+91 9999611332, +91 9999611334,"C-37, Connaught Place, New Delhi"
Southy,011 40254822, +91 9312011011,"Shop 9, Ground Floor, Arunachal Building, Connaught Place, New Delhi"
Surahi By The Rajkamal,+91 8802531233,,"M-58 & 59, Connaught Place, New Delhi"
UBQ by Barbeque Nation,+91 7042698057,,Delivery Only
Gupta Foods,+91 9643519494, 011 41519494,"N 33, Middle Circle, Connaught Place, New Delhi"
Minar,011 23416259, +91 9810146512,"L-11, Outer Circle, Connaught Place, New Delhi"
Dr. Zombie,+91 6909090905, +91 9891128689,"C 35, 1st Floor, Connaught Place, New Delhi"
Tamasha,+91 9999477661, +91 9999477662,"28, Block A, Kasturba Gandhi Marg, Connaught Place, New Delhi"
Excuse Me Boss,011 40046231,,"F-14/15, Middle Circle, Connaught Place, New Delhi"
The Chai Story,011 49097683,,"35/9, H Block, Middle Circle, Connaught Place, New Delhi"
Cinnabon,+91 9810301634,,"R-01, C &D, Mezzanine, Shivaji Stadium Metro Station, Hanuman Road, Connaught Place, New Delhi"
Teddy Boy,+91 9999082666, +91 9999082777,"N-86, 1st Floor, Outer Circle, Connaught Place, New Delhi"
Subway,011 41534101, +91 9811997077,"M 8, Plot 3, M Block, Barakhamba Road, Connaught Place, New Delhi"
Biryani Battuta,+91 8448290982,,"Premises G 57, Ground Floor, G1 Block, Connaught Circus, Connaught Place, New Delhi"
Cream Stone,+91 8800267696,,"79, Municipal Market, Connaught Place, New Delhi"
Royal Restaurant,011 23411338, +91 8826624271,"81, Municipal Market, Connaught Circus, Connaught Place, New Delhi"
Zaffran,011 45460001, 011 45460000,"D-26/28, Hotel Palace Heights, Connaught Place, New Delhi"
Mist - The Park,011 23743000, +91 9873012304,"The Park, 15, Parliament Street, Connaught Place, New Delhi"
"Grappa - Shangri-La's - Eros Hotel, New Delhi",011 41191040, +91 9599787835,"Lobby Level, Shangri-La’s – Eros Hotel, 19, Ashoka Road, Connaught Place, New Delhi"
Taste Of China,+91 9810486616, 011 43760038,"N-18, Outer Circle, Opposite Kasturba Gandhi Marg, Connaught Place, New Delhi"
Rodeo Cantina & Kitchen,+91 8588815454, 011 23713781,"A-12, Inner Circle, Connaught Place, New Delhi"
Station Bar,+91 9891772000, +91 8750102000,"F-60, 2nd Floor, Connaught Place, New Delhi"
"Chutney, Bar + Tandoor - The Metropolitan Hotel & Spa",011 42500200,,"The Metropolitan Hotel & Spa, Bangla Sahib Road, Connaught Place, New Delhi"
Zing - The Metropolitan Hotel & Spa,011 42500200,,"The Metropolitan Hotel & Spa, Bangla Sahib Road, Connaught Place, New Delhi"
Aqua - The Park,011 23743000, +91 9873012304,"The Park, 15, Parliament Street, Connaught Place, New Delhi"
Burger Singh - Big Punjabi Burgers,+91 8767121212,,"H-45, Connaught Place, New Delhi"
Ds Dosa Factory,011 43215555, +91 9811875965,"N-19, Outler Circle, Connaught Place, New Delhi"
Pink Box,+91 9560560084, +91 9318382977,"L-9/1, Ground Floor, Outer Circle, Connaught Place, New Delhi"
Prime Street Cafe,011 43596623, +91 9990262635,"12/13, 1st Floor, F- Block, Inner Circle, Opposite Rajiv Chowk Metro Gate 5, Connaught Place, New Delhi"
Nirula's,011 41230404, 18001025247,"Shop M 57, M Block, Connaught Place, New Delhi"
Nazeer Foods,+91 9899241401,,"M-42, Connaught Place, New Delhi"
The Immigrant Cafe,+91 9999311224, 011 47340432,"B 45, 1st Floor, Inner Circle, Connaught Place, New Delhi"
Punjabi By Nature,+91 8010256256, +91 9205281044,"30-B, F Block, Connaught Place, New Delhi"
Anand Restaurant,011 23313349, 011 23313554,"15/96, Scindia House, Connaught Place, New Delhi"
Oh My God,+91 9599064236, +91 9599064238,"14-15, 2nd Floor, Block F, Inner Circle, Connaught Place, New Delhi"
Café MRP,+91 9999801454, +91 9999801339,"C 39, 1st Floor, Opposite Odean Cinema, Connaught Place, New Delhi"
Monga Snacks,011 23313918, +91 9811547806,"Shop 25, Barakhamba Lane, Connaught Place, New Delhi"
Mughlai Junction,011 43502677, 011 43503677,"N-33/10, Middle Circle, Connaught Place, New Delhi"
Zen,011 23357444, 011 23357455,"B-25, Connaught Place, New Delhi"
Hashery,+91 9330019761,,"B 12/1, Middle Circle, B Block, Connaught Place, New Delhi"
Oh My Gopala,+91 8448291525, 011 40198324,"G9, Marina Arcade, Outer Circle, Connaught Place, New Delhi"
Parashar Foods,+91 9811179232, +91 7838222643,"1, Shankar Market, Connaught Place, New Delhi"
Pioneer's Flavours of China,011 41513523, 011 23321489,"H-40, Pioneer Crockery House, Outer Circle, Connaught Place, New Delhi"
Rooh Burger Cafe,00 1161495404,,"Shop 22, A Block, Connaught Place, New Delhi"
Food Hub Restaurant,+91 8810260870,,"F-206, Samaspur Lane 2, Pandav Nagar, Connaught Place, New Delhi"
Bikkgane Biryani,+91 8929240883, 00 1141516628,"P-2/90, Opposite PVR Rivoli, Connaught Place, New Delhi"
Defence Bakery,011 40347525,,"21, Nauran G House, K.G Marg, Connaught Place, New Delhi"
Brown Sugar,011 47000838,,"N 20, Outer Circle, Connaught Place, New Delhi"
Indian Republic Canteen by Veda,+91 9069906950,,"H-26, Outer Circle, Connaught Place, New Delhi"
Sanjha Chulha Since 1979,+91 9599793507,,Delivery Only
RollsKing,+91 8448302330,,"23/1, Ground Floor, Regal Building, Connaught Place, New Delhi"
Kapurthala Kitchen,+91 9811176773,,"N 35, Ground Floor, Chanakyapuri, Connaught Place, New Delhi"
Tafree Cafe & Terrace Bar,+91 7303502271, +91 7303502218,"F-12-13, 2nd Floor, Inner Circle, F Block, Connaught Place, New Delhi"
Dhaba Food,+91 9971559206, +91 9811901910,"129, Connaught Circus, Connaught Place, New Delhi"
"Mister Chai - Shangri-La's - Eros Hotel, New Delhi",011 41191020,,"Lobby Level, Shangri-La’s – Eros Hotel, 19, Ashoka Road, Connaught Place, New Delhi"
Cafe@199,+91 9811808090,,"Shivaji Stadium Metro Station, Hanuman Road Area, Connaught Place, New Delhi"
One8 Commune,+91 9871795800,,"84, Janpath, Connaught Place, New Delhi"
Navaab Saab 24@7 Kitchen,+91 9599793507,,Delivery Only
National Restaurant,+91 9650528989,,"82 & 83, NDMC Market, Connaught Place, New Delhi"
Great Indian Khichdi,011 46321062, +91 9971981467,Delivery Only
Made In Punjab,011 43551028, 011 43551029,Delivery Only
WITC-Wok In The Clouds,+91 9811187555,,"C 11, Inner Circle, Connaught Place, New Delhi"
Indian Coffee House,011 23342994,,"2nd Floor, Mohan Singh Place, Connaught Place, New Delhi"
Cafe Tea Time,+91 8448332993, 011 41607876,"K-43, 1st Floor, Opposite PVR Plaza, Connaught Place, New Delhi"
Rajasthali,+91 9650075395,,"C-26, Middle Circle, Connaught Place, New Delhi"
Waffle Wallah,+91 8448290982,,"Premises G-57, Ground Floor, G1 Block, Connaught Circus, Connaught Place, New Delhi"
Fa Yian,+91 9811356788,,"A 25/5, Middle Circle, Connaught Place, New Delhi"
China Garden,011 23413456, 011 23413458,"G 4/5/6, Marina Arcade, Connaught Place, New Delhi"
Speedy Chow,+91 8588835509,,Delivery Only
The Luggage Room Kitchen And Bar,+91 8820202052, +91 8820202051,"M-39, Outer Circle, Connaught Place, New Delhi"
The Good Bowl,+91 8828100666,,"Shop 30, Gandhi Market, Gandhi Market, Minto Road, Connaught Place, New Delhi"
The Rolling Joint,+91 8010765765,,"M 61/1, Middle Lane, Behind Odeon Cinema, Connaught Place, New Delhi"
Khansaama Food,+91 9311611317,,Delivery Only
Biryaniwala- Desh Videsh Se,+91 8588835509,,"B 42, 1st Floor, Connaught Place, New Delhi"
